model,train_mae,train_r2,test_mae,test_rmse,test_r2,test_mae_magnitude,training_time,avg_prediction_time
random_forest,0.017130767099264015,0.3720424900876492,0.016331612078987937,0.30803156282749883,-0.12757755892213818,0.025078101807087163,0.47729015350341797,0.02781096640769187
gradient_boosting,0.000614849613402089,0.9997559261128527,0.02056071110061376,0.4241051083215269,-0.9385240963844813,0.03221225236235946,3.172363042831421,0.001322638403784644
mlp,0.033486659012475065,-0.0017141295561361458,0.02818634131117714,0.2961188570442771,-0.02475428691463777,0.04329273155428942,0.07563114166259766,0.00036729348672402874
